Date,Close
1/3/12,23.68
1/4/12,23.23
1/5/12,23.44
1/6/12,24.22
1/9/12,24.62
1/10/12,24.72
1/11/12,24.81
1/12/12,24.76
1/13/12,24.29
1/17/12,24.46
1/18/12,25.17
1/19/12,25.1
1/20/12,25
1/23/12,25.69
1/24/12,25.36
1/25/12,25.71
1/26/12,25.02
1/27/12,25.44
1/30/12,25.38
1/31/12,23.95
2/1/12,24.18
2/2/12,24.3
2/3/12,23.86
2/6/12,24.67
2/7/12,25.38
2/8/12,25.4
2/9/12,25.35
2/10/12,25.08
2/13/12,25.21
2/14/12,25.49
2/15/12,25.35
2/16/12,25.87
2/17/12,25.71
2/21/12,25.91
2/22/12,25.08
2/23/12,25.19
2/24/12,24.99
2/27/12,25.01
2/28/12,25.54
2/29/12,24.7
3/1/12,24.7
3/2/12,24.31
3/5/12,24.64
3/6/12,24.06
3/7/12,24.39
3/8/12,24.55
3/9/12,24.77
3/12/12,24.56
3/13/12,24.59
3/14/12,23.92
3/15/12,25.2
3/16/12,25.52
3/19/12,26.12
3/20/12,26.29
3/21/12,27.14
3/22/12,26.96
3/23/12,27.51
3/26/12,27.37
3/27/12,26.93
3/28/12,26.62
3/29/12,24.77
3/30/12,23.68
4/2/12,23.64
4/3/12,23.55
4/4/12,22.95
4/5/12,22.65
4/9/12,22.65
4/10/12,21.32
4/11/12,21.96
4/12/12,22.24
4/13/12,22.04
4/16/12,21.85
4/17/12,21.92
4/18/12,22.06
4/19/12,22
4/20/12,21.47
4/23/12,21.75
4/24/12,21.7
4/25/12,22.08
4/26/12,22.11
4/27/12,22.33
4/30/12,22.07
5/1/12,22.45
5/2/12,22.1
5/3/12,21.59
5/4/12,20.82
5/7/12,20.62
5/8/12,20.12
5/9/12,20.1
5/10/12,19.94
5/11/12,19.28
5/14/12,19.56
5/15/12,19.12
5/16/12,18.92
5/17/12,18.44
5/18/12,18.02
5/21/12,18.17
5/22/12,18.46
5/23/12,18.46
5/24/12,18.82
5/25/12,19.17
5/29/12,19.28
5/30/12,19.2
5/31/12,18.72
6/1/12,18.3
6/4/12,18.22
6/5/12,19.17
6/6/12,19.89
6/7/12,19.7
6/8/12,19.98
6/11/12,19.5
6/12/12,20.04
6/13/12,19.4
6/14/12,19.81
6/15/12,20.03
