Date,Close
11/7/13,44.9
11/8/13,41.65
11/11/13,42.9
11/12/13,41.9
11/13/13,42.6
11/14/13,44.69
11/15/13,43.98
11/18/13,41.14
11/19/13,41.75
11/20/13,41.05
11/21/13,42.06
11/22/13,41
11/25/13,39.06
11/26/13,40.18
11/27/13,40.9
11/29/13,41.57
12/2/13,40.78
12/3/13,41.37
12/4/13,43.69
12/5/13,45.62
12/6/13,44.95
12/9/13,49.14
12/10/13,51.99
12/11/13,52.34
12/12/13,55.33
12/13/13,59
12/16/13,56.61
12/17/13,56.45
12/18/13,55.51
12/19/13,57.49
12/20/13,60.01
12/23/13,64.54
12/24/13,69.96
12/26/13,73.31
12/27/13,63.75
12/30/13,60.51
12/31/13,63.65
1/2/14,67.5
1/3/14,69
1/6/14,66.29
1/7/14,61.46
1/8/14,59.29
1/9/14,57.05
1/10/14,57
1/13/14,57.82
1/14/14,58.21
1/15/14,61.57
1/16/14,60.57
1/17/14,62.2
1/21/14,62.53
1/22/14,62.44
1/23/14,62.8
1/24/14,61.74
1/27/14,57.91
1/28/14,60.44
1/29/14,59.45
1/30/14,63.47
1/31/14,64.5
2/3/14,65.25
2/4/14,66.32
2/5/14,65.97
2/6/14,50.03
2/7/14,54.35
2/10/14,52.92
2/11/14,54
2/12/14,56.85
2/13/14,56.47
2/14/14,57.44
2/18/14,58.18
2/19/14,55.5
2/20/14,56.63
2/21/14,55.92
2/24/14,55.78
2/25/14,54.96
2/26/14,55.87
2/27/14,55.77
2/28/14,54.91
3/3/14,53.71
3/4/14,54.28
3/5/14,54.38
3/6/14,54.83
3/7/14,53.53
3/10/14,53.88
3/11/14,54.02
3/12/14,54.5
3/13/14,53.57
3/14/14,51.92
3/17/14,52.05
3/18/14,51.13
3/19/14,51.24
3/20/14,50.12
3/21/14,50.92
3/24/14,48.77
3/25/14,47.88
3/26/14,44.43
3/27/14,46.32
3/28/14,47.3
3/31/14,46.67
4/1/14,46.98
4/2/14,45.73
4/3/14,44.05
4/4/14,43.14
4/7/14,42.45
4/8/14,41.78
4/9/14,42.49
4/10/14,41.34
4/11/14,40.05
4/14/14,40.87
4/15/14,45.52
4/16/14,44.42
4/17/14,45.01
4/21/14,46.13
4/22/14,46.02
4/23/14,45.95
4/24/14,44.82
4/25/14,41.61
4/28/14,40.73
4/29/14,42.62
4/30/14,38.97
5/1/14,39.09
5/2/14,39.02
5/5/14,38.75
5/6/14,31.85
5/7/14,30.66
5/8/14,31.96
5/9/14,32.05
5/12/14,33.94
5/13/14,33.39
5/14/14,32.85
5/15/14,32.77
5/16/14,32.26
5/19/14,32.07
5/20/14,31.77
5/21/14,31.75
5/22/14,31.52
5/23/14,30.5
5/27/14,30.51
5/28/14,33.77
5/29/14,34
5/30/14,32.44
6/2/14,31.75
6/3/14,32.58
6/4/14,32.9
6/5/14,33.89
6/6/14,33.33
6/9/14,34.47
6/10/14,35.37
6/11/14,35.54
6/12/14,36.79
6/13/14,36.9
6/16/14,38.02
6/17/14,38.02
6/18/14,38.74
6/19/14,38.9
6/20/14,39.24
6/23/14,39.52
6/24/14,38.48
6/25/14,39.46
6/26/14,41.44
6/27/14,40.93
6/30/14,40.97
7/1/14,42.05
7/2/14,41.77
7/3/14,41.33
7/7/14,40.23
7/8/14,37.41
7/9/14,38.06
7/10/14,37.84
7/11/14,38.33
7/14/14,38.31
7/15/14,37.88
7/16/14,37.43
7/17/14,36.87
7/18/14,37.05
7/21/14,38.05
7/22/14,37.65
7/23/14,37.75
7/24/14,38.71
7/25/14,38.16
7/28/14,37.93
7/29/14,38.59
7/30/14,46.3
7/31/14,45.19
8/1/14,44.13
8/4/14,43.47
8/5/14,43.83
8/6/14,43.46
8/7/14,43
8/8/14,43.13
8/11/14,43.27
8/12/14,43.81
8/13/14,44.15
8/14/14,45.33
8/15/14,44.76
8/18/14,45.12
8/19/14,45.09
8/20/14,45.06
8/21/14,45.11
8/22/14,45.98
8/25/14,46.1
8/26/14,48.17
8/27/14,48.06
8/28/14,49.43
8/29/14,49.75
9/2/14,51.02
9/3/14,49.33
9/4/14,50.24
9/5/14,50.7
9/8/14,52
9/9/14,50.61
9/10/14,52.91
9/11/14,52.64
9/12/14,52.11
9/15/14,49.38
9/16/14,50.83
9/17/14,50.7
9/18/14,50.88
9/19/14,53
9/22/14,51.94
9/23/14,52.17
9/24/14,52.96
9/25/14,51.45
9/26/14,51.89
9/29/14,51.74
9/30/14,51.58
10/1/14,50.06
10/2/14,51.85
10/3/14,53.94
10/6/14,53.49
10/7/14,53.53
10/8/14,55.42
10/9/14,55.29
10/10/14,50.4
10/13/14,48.49
10/14/14,48.58
10/15/14,49.99
10/16/14,48.23
10/17/14,48.77
10/20/14,50.7
10/21/14,50.63
10/22/14,49.08
10/23/14,49.67
10/24/14,49.95
10/27/14,48.56
10/28/14,43.78
10/29/14,42.08
10/30/14,41.8
10/31/14,41.47
11/3/14,40.21
11/4/14,40.9
11/5/14,40.37
11/6/14,40.84
11/7/14,40.31
11/10/14,39.59
11/11/14,39.59
11/12/14,42.54
11/13/14,40.04
11/14/14,41.85
11/17/14,40.47
11/18/14,40.61
11/19/14,39.71
11/20/14,39.81
11/21/14,40.03
11/24/14,40.19
11/25/14,39.76
11/26/14,41.13
11/28/14,41.74
12/1/14,39.04
12/2/14,38.91
12/3/14,39.06
12/4/14,38.79
12/5/14,38.49
12/8/14,36.29
12/9/14,37.05
12/10/14,36.35
12/11/14,36.7
12/12/14,37.1
12/15/14,36.85
12/16/14,35.13
12/17/14,35.57
12/18/14,36.73
12/19/14,37.08
12/22/14,38.43
12/23/14,37.57
12/24/14,37.61
12/26/14,37.6
12/29/14,36.42
12/30/14,35.86
12/31/14,35.87
1/2/15,36.56
1/5/15,36.38
1/6/15,38.76
1/7/15,37.28
1/8/15,39.09
1/9/15,40.17
1/12/15,39.37
1/13/15,39.65
1/14/15,39.85
1/15/15,36.93
1/16/15,37.31
1/20/15,37.57
1/21/15,37.83
1/22/15,39.07
1/23/15,39.42
1/26/15,40.1
1/27/15,38.92
1/28/15,37.15
1/29/15,36.68
1/30/15,37.53
2/2/15,37.46
2/3/15,39.79
2/4/15,40.72
2/5/15,41.26
2/6/15,48.01
2/9/15,47.32
2/10/15,46.26
2/11/15,47.5
2/12/15,47.95
2/13/15,48.5
2/17/15,48.03
2/18/15,47.82
2/19/15,48.7
2/20/15,49.11
2/23/15,48.47
2/24/15,48.69
2/25/15,48.55
2/26/15,49.41
2/27/15,48.08
3/2/15,48.15
3/3/15,47.71
3/4/15,47.57
3/5/15,47.35
3/6/15,46.75
3/9/15,47.59
3/10/15,45.84
3/11/15,46.27
3/12/15,47.07
3/13/15,46.66
3/16/15,46.43
3/17/15,46.93
3/18/15,47.2
3/19/15,47.93
3/20/15,48.44
3/23/15,48.46
3/24/15,51.47
3/25/15,49.5
3/26/15,49.92
3/27/15,50.01
3/30/15,49.89
3/31/15,50.08
4/1/15,50.47
4/2/15,50.42
4/6/15,50.84
4/7/15,52.87
4/8/15,52.3
4/9/15,52.17
4/10/15,51.94
4/13/15,51.62
4/14/15,51.2
4/15/15,51.3
4/16/15,52.03
4/17/15,50.66
4/20/15,51.4
4/21/15,51.32
4/22/15,51.73
4/23/15,51.41
4/24/15,50.82
4/27/15,51.66
4/28/15,42.27
4/29/15,38.49
4/30/15,38.96
5/1/15,37.84
5/4/15,37.88
5/5/15,37.42
5/6/15,37.26
5/7/15,37.71
5/8/15,37.59
5/11/15,37.31
5/12/15,37.48
5/13/15,37.72
5/14/15,37.33
5/15/15,37.1
5/18/15,37.28
5/19/15,37.5
5/20/15,36.78
5/21/15,36.68
5/22/15,36.6
5/26/15,36.51
5/27/15,36.41
5/28/15,36.83
5/29/15,36.67
6/1/15,36.63
6/2/15,36.4
6/3/15,37
6/4/15,36.71
6/5/15,37
6/8/15,36.46
6/9/15,35.88
6/10/15,35.85
6/11/15,35.84
6/12/15,35.9
6/15/15,34.67
6/16/15,34.82
6/17/15,34.69
6/18/15,34.66
6/19/15,35.86
6/22/15,35.55
6/23/15,35.37
6/24/15,35.17
6/25/15,35.17
6/26/15,35.26
6/29/15,34.21
6/30/15,36.22
7/1/15,35.4
7/2/15,35.72
7/6/15,35.43
7/7/15,35.52
7/8/15,34.76
7/9/15,34.36
7/10/15,34.91
7/13/15,35.78
7/14/15,36.72
7/15/15,35.66
7/16/15,36.1
7/17/15,35.67
7/20/15,35.81
7/21/15,36.63
7/22/15,36.09
7/23/15,36.19
7/24/15,35.42
7/27/15,34.7
7/28/15,36.54
7/29/15,31.24
7/30/15,31.47
7/31/15,31.01
8/3/15,29.27
8/4/15,29.34
8/5/15,28.48
8/6/15,27.54
8/7/15,27.04
8/10/15,29.5
8/11/15,29.62
8/12/15,29.39
8/13/15,28.54
8/14/15,29.06
8/17/15,29.06
8/18/15,28.3
8/19/15,27.61
8/20/15,26
8/21/15,25.87
8/24/15,25.17
8/25/15,24.38
8/26/15,25.03
8/27/15,26.46
8/28/15,26.83
8/31/15,27.79
9/1/15,27.03
9/2/15,27.82
9/3/15,28.3
9/4/15,28.15
9/8/15,27.18
9/9/15,27.18
9/10/15,27.71
9/11/15,27.39
9/14/15,26.9
9/15/15,27.17
9/16/15,27.75
9/17/15,27.41
9/18/15,27.96
9/21/15,27.38
9/22/15,26.83
9/23/15,26.79
9/24/15,26.6
9/25/15,25.29
9/28/15,25.26
9/29/15,25.59
9/30/15,26.94
10/1/15,24.68
10/2/15,26.31
10/5/15,28.15
10/6/15,27.62
10/7/15,29.83
10/8/15,30.32
10/9/15,30.85
10/12/15,28.75
10/13/15,29.06
10/14/15,29.38
10/15/15,29.71
10/16/15,31.15
10/19/15,30.91
10/20/15,30.91
10/21/15,29.3
10/22/15,29.15
10/23/15,30.28
10/26/15,30.89
10/27/15,31.34
10/28/15,30.87
10/29/15,29.06
10/30/15,28.46
11/2/15,29.2
11/3/15,29.13
11/4/15,29.36
11/5/15,28.66
11/6/15,28.28
11/9/15,27.09
11/10/15,27.05
11/11/15,26.5
11/12/15,26.13
11/13/15,25.18
11/16/15,25.41
11/17/15,25.23
11/18/15,25.9
11/19/15,26.32
11/20/15,26.27
11/23/15,25.2
11/24/15,25.52
11/25/15,26.06
11/27/15,25.75
11/30/15,25.4
12/1/15,25.53
12/2/15,25.4
12/3/15,25.9
12/4/15,25.02
12/7/15,24.46
12/8/15,24.99
12/9/15,24.31
12/10/15,25.91
12/11/15,24.84
12/14/15,24.92
12/15/15,23.95
12/16/15,24.3
12/17/15,23.31
12/18/15,22.99
12/21/15,22.14
12/22/15,22.56
12/23/15,22.67
12/24/15,22.97
12/28/15,22.53
12/29/15,22.47
12/30/15,22.23
12/31/15,23.14
1/4/16,22.56
1/5/16,21.92
1/6/16,21.39
1/7/16,20.26
1/8/16,19.98
1/11/16,19.65
1/12/16,19.62
1/13/16,18.68
1/14/16,19
1/15/16,17.94
1/19/16,16.69
1/20/16,17.38
1/21/16,17.83
1/22/16,17.84
1/25/16,17.02
1/26/16,17.01
1/27/16,16.78
1/28/16,16.49
1/29/16,16.8
2/1/16,17.91
2/2/16,16.08
2/3/16,16.56
2/4/16,16.91
2/5/16,15.72
2/8/16,14.9
2/9/16,14.4
2/10/16,14.98
2/11/16,14.31
2/12/16,15.88
2/16/16,16.36
2/17/16,17.46
2/18/16,18.43
2/19/16,18.31
2/22/16,18.3
2/23/16,18.3
2/24/16,18
2/25/16,17.59
2/26/16,17.94
2/29/16,18.12
3/1/16,17.85
3/2/16,18.54
3/3/16,19.31
3/4/16,19.36
3/7/16,19.17
3/8/16,18.33
3/9/16,17.66
3/10/16,16.61
3/11/16,16.81
3/14/16,17.12
3/15/16,16.19
3/16/16,16.7
3/17/16,16.85
3/18/16,16.85
3/21/16,16.89
3/22/16,16.86
3/23/16,16.01
3/24/16,15.91
3/28/16,15.6
3/29/16,15.97
3/30/16,16.36
3/31/16,16.55
4/1/16,15.98
4/4/16,17.09
4/5/16,17.05
4/6/16,17.26
4/7/16,16.98
4/8/16,16.65
4/11/16,16.51
4/12/16,16.57
4/13/16,17.37
4/14/16,17.53
4/15/16,17.58
4/18/16,17.31
4/19/16,16.92
4/20/16,17.4
4/21/16,17.51
4/22/16,17.23
4/25/16,17.09
4/26/16,17.75
4/27/16,14.86
4/28/16,14.64
4/29/16,14.62
5/2/16,14.4
5/3/16,14.01
5/4/16,14.84
5/5/16,14.12
5/6/16,14.4
5/9/16,14.2
5/10/16,14.63
5/11/16,14.59
5/12/16,14.08
5/13/16,14.1
5/16/16,14.29
